,Company,Product,TypeName,Inches,Ram_GB,OpSys,Weight_kg,Price_euros,Touchscreen,ScreenWidth,ScreenHeight,Cpu_producer,Cpu_series,Cpu_model,Cpu_GHz,Gpu_producer,Gpu_model,Gpu_series,Memory1_GB,Memory1_type,Memory2_type
0,Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1339.69,0,2560,1600,Intel,-,Core i5,2.3,Intel,Iris Plus Graphics,640,128,SSD,-
1,Apple,Macbook Air,Ultrabook,13.3,8,macOS,1.34,898.94,0,1440,900,Intel,-,Core i5,1.8,Intel,HD Graphics,6000,128,Flash Storage,-
2,HP,250 G6,Notebook,15.6,8,No OS,1.86,575.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,-
3,Apple,MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2537.45,0,2880,1800,Intel,-,Core i7,2.7,AMD,Radeon Pro,455,512,SSD,-
4,Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1803.6,0,2560,1600,Intel,-,Core i5,3.1,Intel,Iris Plus Graphics,650,256,SSD,-
5,Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.1,400.0,0,1366,768,AMD,9420,A9-Series,3.0,AMD,Radeon R5,-,500,HDD,-
6,Apple,MacBook Pro,Ultrabook,15.4,16,Mac OS X,2.04,2139.97,0,2880,1800,Intel,-,Core i7,2.2,Intel,Iris Pro Graphics,-,256,Flash Storage,-
7,Apple,Macbook Air,Ultrabook,13.3,8,macOS,1.34,1158.7,0,1440,900,Intel,-,Core i5,1.8,Intel,HD Graphics,6000,256,Flash Storage,-
8,Asus,ZenBook UX430UN,Ultrabook,14.0,16,Windows 10,1.3,1495.0,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,MX150,512,SSD,-
9,Acer,Swift 3,Ultrabook,14.0,8,Windows 10,1.6,770.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,-
10,HP,250 G6,Notebook,15.6,4,No OS,1.86,393.9,0,1366,768,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,500,HDD,-
11,HP,250 G6,Notebook,15.6,4,No OS,1.86,344.99,0,1920,1080,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,500,HDD,-
12,Apple,MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2439.97,0,2880,1800,Intel,-,Core i7,2.8,AMD,Radeon Pro,555,256,SSD,-
13,Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.2,498.9,0,1920,1080,Intel,6006U,Core i3,2.0,AMD,Radeon R5,M430,256,SSD,-
14,Apple,"MacBook 12""",Ultrabook,12.0,8,macOS,0.92,1262.4,0,2304,1440,Intel,m3,Core M,1.2,Intel,HD Graphics,615,256,SSD,-
15,Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1518.55,0,2560,1600,Intel,-,Core i5,2.3,Intel,Iris Plus Graphics,640,256,SSD,-
16,Dell,Inspiron 3567,Notebook,15.6,8,Windows 10,2.2,745.0,0,1920,1080,Intel,7500U,Core i7,2.7,AMD,Radeon R5,M430,256,SSD,-
17,Apple,MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2858.0,0,2880,1800,Intel,-,Core i7,2.9,AMD,Radeon Pro,560,512,SSD,-
18,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,No OS,2.2,499.0,0,1920,1080,Intel,7100U,Core i3,2.4,Nvidia,GeForce,940MX,1024,HDD,-
