laptop_ID,Company,Product,TypeName,Inches,Ram_GB,OpSys,Weight_kg,Price_euros,Touchscreen,ScreenWidth,ScreenHeight,Cpu_producer,Cpu_series,Cpu_model,Cpu_GHz,Gpu_producer,Gpu_model,Gpu_series,Memory1_GB,Memory1_type,Memory2_GB,Memory2_type
1,Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1339.69,0,2560,1600,Intel,-,Core i5,2.3,Intel,Iris Plus Graphics,640,128,SSD,0,-
2,Apple,Macbook Air,Ultrabook,13.3,8,macOS,1.34,898.94,0,1440,900,Intel,-,Core i5,1.8,Intel,HD Graphics,6000,128,Flash Storage,0,-
3,HP,250 G6,Notebook,15.6,8,No OS,1.86,575.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,0,-
4,Apple,MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2537.45,0,2880,1800,Intel,-,Core i7,2.7,AMD,Radeon Pro,455,512,SSD,0,-
5,Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1803.6,0,2560,1600,Intel,-,Core i5,3.1,Intel,Iris Plus Graphics,650,256,SSD,0,-
6,Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.1,400.0,0,1366,768,AMD,9420,A9-Series,3.0,AMD,Radeon R5,-,500,HDD,0,-
7,Apple,MacBook Pro,Ultrabook,15.4,16,Mac OS X,2.04,2139.97,0,2880,1800,Intel,-,Core i7,2.2,Intel,Iris Pro Graphics,-,256,Flash Storage,0,-
8,Apple,Macbook Air,Ultrabook,13.3,8,macOS,1.34,1158.7,0,1440,900,Intel,-,Core i5,1.8,Intel,HD Graphics,6000,256,Flash Storage,0,-
9,Asus,ZenBook UX430UN,Ultrabook,14.0,16,Windows 10,1.3,1495.0,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,MX150,512,SSD,0,-
10,Acer,Swift 3,Ultrabook,14.0,8,Windows 10,1.6,770.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,0,-
11,HP,250 G6,Notebook,15.6,4,No OS,1.86,393.9,0,1366,768,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,500,HDD,0,-
12,HP,250 G6,Notebook,15.6,4,No OS,1.86,344.99,0,1920,1080,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,500,HDD,0,-
13,Apple,MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2439.97,0,2880,1800,Intel,-,Core i7,2.8,AMD,Radeon Pro,555,256,SSD,0,-
14,Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.2,498.9,0,1920,1080,Intel,6006U,Core i3,2.0,AMD,Radeon R5,M430,256,SSD,0,-
15,Apple,"MacBook 12""",Ultrabook,12.0,8,macOS,0.92,1262.4,0,2304,1440,Intel,m3,Core M,1.2,Intel,HD Graphics,615,256,SSD,0,-
16,Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1518.55,0,2560,1600,Intel,-,Core i5,2.3,Intel,Iris Plus Graphics,640,256,SSD,0,-
17,Dell,Inspiron 3567,Notebook,15.6,8,Windows 10,2.2,745.0,0,1920,1080,Intel,7500U,Core i7,2.7,AMD,Radeon R5,M430,256,SSD,0,-
18,Apple,MacBook Pro,Ultrabook,15.4,16,macOS,1.83,2858.0,0,2880,1800,Intel,-,Core i7,2.9,AMD,Radeon Pro,560,512,SSD,0,-
19,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,No OS,2.2,499.0,0,1920,1080,Intel,7100U,Core i3,2.4,Nvidia,GeForce,940MX,1024,HDD,0,-
20,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.22,979.0,1,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,128,SSD,0,-
21,Asus,Vivobook E200HA,Netbook,11.6,2,Windows 10,0.98,191.9,0,1366,768,Intel,x5-Z8350,Atom,1.44,Intel,HD Graphics,400,32,Flash Storage,0,-
22,Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,Windows 10,2.5,999.0,0,1920,1080,Intel,7300HQ,Core i5,2.5,Nvidia,GeForce GTX,1050,128,SSD,1024,HDD
23,HP,255 G6,Notebook,15.6,4,No OS,1.86,258.0,0,1366,768,AMD,E2-9000e,E-Series,1.5,AMD,Radeon R2,-,500,HDD,0,-
24,Dell,Inspiron 5379,2 in 1 Convertible,13.3,8,Windows 10,1.62,819.0,1,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,0,-
25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,8,Windows 10,1.91,659.0,0,1920,1080,Intel,8550U,Core i7,1.8,Intel,HD Graphics,620,256,SSD,0,-
26,Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.3,418.64,0,1366,768,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,1024,HDD,0,-
27,Apple,MacBook Air,Ultrabook,13.3,8,Mac OS X,1.35,1099.0,0,1440,900,Intel,-,Core i5,1.6,Intel,HD Graphics,6000,128,Flash Storage,0,-
28,Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.2,798.7,0,1920,1080,Intel,8250U,Core i5,1.6,AMD,Radeon,530,256,SSD,0,-
29,Dell,Latitude 5590,Ultrabook,15.6,8,Windows 10,1.88,1298.0,0,1920,1080,Intel,8650U,Core i7,1.9,Intel,UHD Graphics,620,256,SSD,256,SSD
30,HP,ProBook 470,Notebook,17.3,8,Windows 10,2.5,905.0,0,1920,1080,Intel,8250U,Core i5,1.6,Nvidia,GeForce,930MX,1024,HDD,0,-
31,Chuwi,"LapBook 15.6""",Notebook,15.6,4,Windows 10,1.89,244.99,0,1920,1080,Intel,x5-Z8300,Atom,1.44,Intel,HD Graphics,-,64,Flash Storage,0,-
32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,2,Windows 10,1.65,199.0,0,1366,768,AMD,E2-6110,E-Series,1.5,AMD,Radeon R2,-,32,Flash Storage,0,-
33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,4,Windows 10,2.71,439.0,0,1920,1080,AMD,9220,A6-Series,2.5,AMD,Radeon,530,500,HDD,0,-
34,Dell,XPS 13,Ultrabook,13.3,16,Windows 10,1.2,1869.0,1,3200,1800,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,512,SSD,0,-
35,Apple,MacBook Air,Ultrabook,13.3,8,Mac OS X,1.35,998.0,0,1440,900,Intel,-,Core i5,1.6,Intel,HD Graphics,6000,256,Flash Storage,0,-
36,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,4,Windows 10,1.44,249.0,0,1366,768,Intel,N3350,Celeron Dual Core,1.1,Intel,HD Graphics,500,64,Flash Storage,0,-
37,Acer,Aspire 3,Notebook,15.6,4,Linux,2.1,367.0,0,1366,768,Intel,7130U,Core i3,2.7,Intel,HD Graphics,620,1024,HDD,0,-
38,Dell,Inspiron 5770,Notebook,17.3,8,Windows 10,2.8,1032.0,0,1920,1080,Intel,8250U,Core i5,1.6,AMD,Radeon,530,128,SSD,1024,HDD
39,HP,250 G6,Notebook,15.6,4,Windows 10,1.86,488.69,0,1366,768,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,1024,HDD,0,-
40,HP,ProBook 450,Notebook,15.6,8,Windows 10,2.1,879.0,0,1920,1080,Intel,8250U,Core i5,1.6,Nvidia,GeForce,930MX,256,SSD,0,-
41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,4,Linux,2.0,389.0,0,1920,1080,Intel,6006U,Core i3,2.0,Intel,HD Graphics,620,1024,HDD,0,-
42,Dell,Inspiron 7577,Gaming,15.6,16,Windows 10,2.65,1499.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1060,256,SSD,1024,HDD
43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,8,Linux,2.3,522.99,0,1366,768,Intel,7200U,Core i5,2.5,Nvidia,GeForce,940MX,1024,HDD,0,-
44,Acer,Aspire A515-51G,Notebook,15.6,4,Windows 10,2.2,682.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,0,-
45,Dell,Inspiron 7773,2 in 1 Convertible,17.3,12,Windows 10,2.77,999.0,1,1920,1080,Intel,8250U,Core i5,1.6,Nvidia,GeForce,150MX,1024,HDD,0,-
46,Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1419.0,0,2560,1600,Intel,-,Core i5,2.0,Intel,Iris Graphics,540,256,SSD,0,-
47,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,No OS,2.2,369.0,0,1366,768,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,128,SSD,0,-
48,Asus,Rog Strix,Gaming,17.3,8,Windows 10,3.2,1299.0,0,1920,1080,AMD,1700,Ryzen,3.0,AMD,Radeon RX,580,256,SSD,1024,HDD
49,Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.3,639.0,0,1920,1080,Intel,7200U,Core i5,2.5,AMD,Radeon R5,M430,256,SSD,0,-
50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,4,Windows 10,2.8,466.0,0,1366,768,Intel,N4200,Pentium Quad Core,1.1,Nvidia,GeForce,920MX,1024,HDD,0,-
51,Lenovo,Yoga Book,2 in 1 Convertible,10.1,4,Android,0.69,434.0,1,1920,1200,Intel,x5-Z8550,Atom,1.44,Intel,HD Graphics,400,64,Flash Storage,0,-
52,Acer,Aspire A515-51G,Notebook,15.6,8,Windows 10,2.2,841.0,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,MX150,256,SSD,0,-
53,HP,255 G6,Notebook,15.6,4,Windows 10,1.86,398.49,0,1920,1080,AMD,9220,A6-Series,2.5,AMD,Radeon R4 Graphics,-,256,SSD,0,-
54,HP,ProBook 430,Notebook,13.3,8,Windows 10,1.49,1103.0,0,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,512,SSD,0,-
55,Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.4,384.0,0,1366,768,Intel,7100U,Core i3,2.4,Intel,HD Graphics,620,1024,HDD,0,-
